id,first_name,last_name,phone_number,specialization,work_experience
375,Иннокентий,Данилов,+7 (901) 400 68-26,Шиномонтажник,20.1
376,Савелий,Игнатов,+7 (900) 342 14-16,Кузовщик,23.2
377,Милий,Горбунов,+7 (912) 903 32-49,Автомеханик,25.2
378,Никандр,Никонов,+7 (976) 393 93-11,Автомеханик,3.7
379,Павел,Тарасов,+7 (947) 453 44-48,Автомеханик,8.8
380,Тимофей,Борисов,+7 (908) 735 17-55,Автослесарь,24.1
381,Терентий,Архипов,+7 (919) 721 66-86,Автомеханик,2.7
382,Демьян,Лазарев,+7 (908) 625 95-88,Автомеханик,16.0
383,Наркис,Ильин,+7 (979) 436 18-42,Шиномонтажник,28.9
384,Доброслав,Тарасов,+7 (945) 101 06-83,Автомаляр,22.4
385,Василий,Шашков,+7 (946) 406 05-22,Автослесарь,8.2
386,Лука,Михеев,+7 (932) 231 13-01,Автослесарь,31.4
387,Святополк,Лихачев,+7 (964) 629 46-99,Шиномонтажник,20.8
388,Кир,Воронов,+7 (918) 914 82-93,Кузовщик,4.4
389,Леон,Князев,+7 (960) 845 82-54,Автоэлектрик,8.5
390,Евлампий,Казаков,+7 (990) 132 07-18,Автослесарь,29.1
391,Семен,Быков,+7 (979) 519 65-43,Автослесарь,29.6
392,Платон,Корнилов,+7 (906) 842 18-86,Автомеханик,4.9
393,Антип,Сидоров,+7 (915) 560 36-70,Рихтовщик,20.9
394,Харлампий,Фомин,+7 (946) 771 22-78,Автослесарь,17.9
395,Исай,Максимов,+7 (961) 101 03-71,Автомеханик,26.8
396,Вацлав,Тарасов,+7 (967) 471 79-45,Автомеханик,10.8
397,Константин,Моисеев,+7 (973) 945 39-89,Автослесарь,19.5
398,Ростислав,Артемьев,+7 (977) 257 56-46,Рихтовщик,8.2
399,Константин,Блохин,+7 (907) 735 51-60,Автоэлектрик,26.1
400,Лаврентий,Миронов,+7 (985) 990 72-33,Автослесарь,25.0
401,Фотий,Кузнецов,+7 (926) 114 21-80,Кузовщик,1.7
402,Венедикт,Потапов,+7 (919) 439 30-16,Автослесарь,11.8
403,Самуил,Казаков,+7 (970) 409 93-14,Шиномонтажник,24.0
404,Любосмысл,Фомин,+7 (987) 801 61-34,Автоэлектрик,15.1
405,Ефрем,Баранов,+7 (975) 208 02-10,Кузовщик,23.3
406,Макар,Колобов,+7 (933) 834 81-05,Автомеханик,5.0
407,Амвросий,Стрелков,+7 (938) 163 58-94,Рихтовщик,4.0
408,Захар,Смирнов,+7 (985) 134 83-31,Кузовщик,22.3
409,Мир,Белоусов,+7 (952) 712 24-09,Автослесарь,30.9
410,Ян,Шубин,+7 (986) 934 41-28,Кузовщик,6.0
411,Харитон,Шарапов,+7 (938) 647 95-94,Кузовщик,27.6
412,Валерьян,Шилов,+7 (965) 333 52-87,Кузовщик,23.3
413,Савелий,Потапов,+7 (985) 905 36-65,Автослесарь,13.4
414,Вышеслав,Лихачев,+7 (906) 986 69-17,Автослесарь,30.1
415,Амос,Фокин,+7 (922) 110 90-51,Автослесарь,29.7
416,Лаврентий,Юдин,+7 (915) 129 30-62,Автоэлектрик,24.4
417,Святополк,Романов,+7 (934) 217 61-66,Автослесарь,16.9
418,Владислав,Красильников,+7 (993) 279 35-17,Рихтовщик,4.0
419,Аполлинарий,Комиссаров,+7 (929) 821 51-00,Автослесарь,18.2
420,Алексей,Цветков,+7 (944) 270 47-56,Кузовщик,12.8
421,Чеслав,Шашков,+7 (924) 360 20-59,Рихтовщик,19.4
422,Светозар,Белозеров,+7 (982) 236 86-52,Шиномонтажник,30.0
423,Терентий,Ларионов,+7 (991) 417 78-82,Автомеханик,30.1
424,Аверьян,Терентьев,+7 (966) 243 90-75,Автомаляр,7.7
425,Будимир,Зиновьев,+7 (932) 744 56-15,Рихтовщик,14.7
426,Павел,Мамонтов,+7 (922) 662 32-14,Автомеханик,25.4
427,Моисей,Брагин,+7 (933) 284 10-84,Рихтовщик,13.6
428,Иннокентий,Мельников,+7 (917) 600 55-57,Автомеханик,31.4
429,Карл,Юдин,+7 (943) 991 40-47,Автомаляр,17.0
430,Ерофей,Колесников,+7 (914) 349 30-66,Кузовщик,28.3
431,Эммануил,Быков,+7 (961) 704 74-44,Автомаляр,20.0
432,Ипатий,Ковалев,+7 (924) 359 64-06,Автомаляр,14.8
433,Юлиан,Поляков,+7 (900) 165 06-16,Рихтовщик,6.2
434,Боян,Баранов,+7 (960) 705 88-45,Рихтовщик,27.0
435,Азарий,Трофимов,+7 (960) 598 83-53,Автомеханик,4.0
436,Константин,Гордеев,+7 (911) 342 40-09,Автомаляр,12.8
437,Евграф,Суворов,+7 (990) 534 99-63,Автомеханик,11.1
438,Егор,Дементьев,+7 (941) 354 25-76,Рихтовщик,18.2
439,Алексей,Попов,+7 (986) 581 75-62,Автомаляр,6.2
440,Куприян,Щукин,+7 (978) 644 01-56,Автомаляр,25.5
441,Ярослав,Шаров,+7 (915) 544 25-66,Рихтовщик,31.8
442,Тимур,Бирюков,+7 (922) 553 27-66,Автослесарь,7.4
443,Всемил,Кошелев,+7 (945) 768 47-11,Шиномонтажник,28.8
444,Будимир,Громов,+7 (943) 112 91-96,Кузовщик,14.0
445,Федор,Иванов,+7 (953) 101 65-23,Автоэлектрик,13.5
446,Тарас,Некрасов,+7 (908) 649 58-24,Автомеханик,7.6
447,Герасим,Авдеев,+7 (931) 247 83-61,Автомеханик,25.6
448,Эраст,Миронов,+7 (953) 415 63-55,Автомаляр,9.2
449,Мокей,Белозеров,+7 (925) 481 26-06,Шиномонтажник,22.4
450,Амвросий,Агафонов,+7 (991) 475 46-02,Автослесарь,21.1
451,Герасим,Фомичев,+7 (952) 591 60-38,Кузовщик,25.1
452,Эмиль,Самойлов,+7 (945) 568 22-52,Автомеханик,1.6
453,Мариан,Тарасов,+7 (987) 605 92-68,Автоэлектрик,28.8
454,Андроник,Ермаков,+7 (987) 364 58-97,Автослесарь,18.0
455,Иван,Емельянов,+7 (982) 657 26-16,Автослесарь,4.8
456,Касьян,Зуев,+7 (989) 237 96-90,Автоэлектрик,22.0
457,Демьян,Симонов,+7 (974) 515 00-24,Кузовщик,1.4
458,Максим,Кузьмин,+7 (904) 862 08-86,Автоэлектрик,23.3
459,Еремей,Гришин,+7 (981) 268 32-96,Автоэлектрик,9.7
460,Егор,Белозеров,+7 (946) 818 96-20,Автослесарь,25.7
461,Лазарь,Овчинников,+7 (920) 202 16-78,Рихтовщик,10.1
462,Викентий,Яковлев,+7 (957) 442 50-63,Автослесарь,29.4
463,Мир,Евдокимов,+7 (932) 196 90-05,Шиномонтажник,21.3
464,Азарий,Мясников,+7 (949) 763 98-05,Кузовщик,9.7
465,Фортунат,Иванов,+7 (913) 504 86-10,Автомеханик,24.0
466,Ефим,Никонов,+7 (990) 900 89-66,Автомаляр,27.1
467,Марк,Комиссаров,+7 (923) 630 00-44,Автоэлектрик,15.3
468,Гедеон,Федоров,+7 (973) 146 25-15,Автослесарь,30.5
469,Евгений,Федотов,+7 (929) 142 15-17,Шиномонтажник,21.0
470,Аким,Веселов,+7 (964) 593 17-70,Автоэлектрик,17.1
471,Вячеслав,Гусев,+7 (925) 823 71-20,Кузовщик,19.9
472,Демьян,Волков,+7 (949) 432 88-36,Автослесарь,5.9
473,Поликарп,Лихачев,+7 (986) 902 28-63,Рихтовщик,27.0
474,Антип,Журавлев,+7 (965) 227 74-79,Шиномонтажник,28.6
475,Прокл,Бирюков,+7 (961) 117 99-91,Автомаляр,6.9
476,Мокей,Пономарев,+7 (938) 347 34-42,Шиномонтажник,30.6
477,Казимир,Казаков,+7 (949) 456 56-23,Шиномонтажник,2.1
478,Ипатий,Казаков,+7 (927) 357 18-41,Рихтовщик,1.7
479,Борислав,Громов,+7 (974) 383 38-16,Автоэлектрик,22.9
480,Аникей,Николаев,+7 (973) 559 43-62,Автослесарь,3.4
481,Варфоломей,Мартынов,+7 (956) 379 01-39,Автомаляр,19.8
482,Филипп,Дроздов,+7 (935) 272 96-72,Автомаляр,31.6
483,Терентий,Беляев,+7 (977) 560 80-74,Автоэлектрик,8.8
484,Вышеслав,Воробьев,+7 (955) 554 48-52,Кузовщик,25.7
485,Федот,Николаев,+7 (972) 166 93-22,Автоэлектрик,1.7
486,Степан,Александров,+7 (962) 910 83-57,Шиномонтажник,4.2
487,Борис,Пестов,+7 (928) 959 03-25,Автомеханик,9.0
488,Данила,Жданов,+7 (935) 136 66-40,Автоэлектрик,13.7
489,Милан,Силин,+7 (913) 483 11-84,Кузовщик,24.0
490,Фотий,Давыдов,+7 (991) 254 31-59,Автомаляр,1.3
491,Аверкий,Емельянов,+7 (928) 664 30-32,Автомеханик,16.0
492,Эдуард,Морозов,+7 (945) 143 67-44,Шиномонтажник,22.7
493,Сигизмунд,Аксенов,+7 (916) 439 76-82,Рихтовщик,25.3
494,Спартак,Горбачев,+7 (912) 548 55-39,Автоэлектрик,23.3
495,Никандр,Исаев,+7 (971) 795 99-75,Рихтовщик,11.5
496,Галактион,Медведев,+7 (951) 385 00-50,Рихтовщик,24.2
497,Тимур,Кудряшов,+7 (986) 356 18-19,Автомеханик,18.5
498,Радим,Буров,+7 (956) 515 81-22,Кузовщик,8.3
499,Андроник,Кузнецов,+7 (947) 648 82-69,Автомаляр,15.6
500,Парфен,Лаврентьев,+7 (996) 672 98-68,Автоэлектрик,29.6
501,Мефодий,Беляев,+7 (904) 222 38-66,Автоэлектрик,26.5
502,Виктор,Одинцов,+7 (930) 273 44-96,Кузовщик,28.3
503,Фадей,Панов,+7 (939) 973 35-91,Автомаляр,25.0
504,Трифон,Воронцов,+7 (937) 774 73-24,Шиномонтажник,19.5
505,Самсон,Тетерин,+7 (928) 872 77-35,Рихтовщик,18.8
506,Виссарион,Симонов,+7 (922) 146 48-96,Кузовщик,15.7
507,Устин,Антонов,+7 (948) 365 39-87,Автомаляр,21.6
508,Остромир,Терентьев,+7 (944) 843 68-36,Шиномонтажник,17.4
509,Соломон,Коновалов,+7 (955) 588 28-74,Автослесарь,13.2
510,Никанор,Лапин,+7 (930) 718 39-85,Рихтовщик,12.5
511,Дементий,Елисеев,+7 (955) 986 18-50,Автоэлектрик,5.7
512,Самсон,Некрасов,+7 (951) 718 84-20,Автомеханик,2.5
513,Симон,Капустин,+7 (967) 958 90-69,Кузовщик,13.9
514,Нестор,Панов,+7 (966) 842 89-84,Автослесарь,23.4
515,Бронислав,Мельников,+7 (978) 209 60-70,Автомеханик,8.9
516,Аникита,Трофимов,+7 (937) 443 28-53,Автомаляр,24.7
517,Степан,Никитин,+7 (949) 995 01-84,Рихтовщик,25.0
518,Максимильян,Рогов,+7 (982) 460 60-75,Шиномонтажник,11.0
519,Харитон,Сысоев,+7 (968) 248 93-48,Автоэлектрик,2.6
520,Агафон,Горшков,+7 (930) 820 89-99,Автоэлектрик,19.9
521,Ростислав,Третьяков,+7 (948) 255 04-89,Шиномонтажник,3.0
522,Емельян,Иванов,+7 (910) 678 54-13,Автомаляр,12.7
523,Ипат,Суханов,+7 (971) 730 07-58,Автослесарь,30.8
524,Сократ,Блинов,+7 (942) 201 63-85,Автомаляр,12.9
525,Сигизмунд,Захаров,+7 (956) 496 50-98,Рихтовщик,18.0
526,Радим,Дмитриев,+7 (995) 725 47-95,Шиномонтажник,19.7
527,Мстислав,Сорокин,+7 (971) 438 56-80,Автомеханик,5.2
528,Геннадий,Баранов,+7 (921) 885 44-27,Шиномонтажник,22.5
529,Тит,Петров,+7 (947) 673 52-50,Кузовщик,25.1
530,Андрон,Пономарев,+7 (911) 584 21-44,Автоэлектрик,26.6
531,Матвей,Лобанов,+7 (963) 480 07-49,Автомеханик,13.5
532,Будимир,Лобанов,+7 (901) 646 01-19,Рихтовщик,25.0
533,Тихон,Новиков,+7 (961) 648 48-27,Автоэлектрик,27.9
534,Милен,Нестеров,+7 (917) 504 43-63,Шиномонтажник,18.7
535,Никандр,Панов,+7 (982) 894 47-98,Автослесарь,11.6
536,Ростислав,Миронов,+7 (906) 536 93-77,Шиномонтажник,1.2
537,Валентин,Симонов,+7 (923) 887 05-42,Автослесарь,30.1
538,Мефодий,Трофимов,+7 (913) 646 58-61,Автоэлектрик,26.9
539,Константин,Цветков,+7 (947) 692 73-47,Кузовщик,17.1
540,Казимир,Комиссаров,+7 (972) 845 49-21,Автомаляр,12.3
541,Милован,Евсеев,+7 (970) 155 64-57,Автомаляр,28.8
542,Федосий,Прохоров,+7 (976) 910 96-62,Кузовщик,13.4
543,Добромысл,Осипов,+7 (941) 630 18-18,Автомеханик,11.7
544,Ратибор,Соболев,+7 (973) 774 82-39,Рихтовщик,2.5
545,Давыд,Костин,+7 (970) 664 78-56,Автомаляр,16.7
546,Ярополк,Симонов,+7 (986) 604 69-81,Автослесарь,27.2
547,Сергей,Романов,+7 (995) 204 47-65,Кузовщик,3.1
548,Аполлинарий,Копылов,+7 (918) 943 16-21,Автоэлектрик,8.7
549,Савва,Фокин,+7 (923) 752 60-76,Автоэлектрик,1.5
550,Иосиф,Муравьев,+7 (957) 242 73-95,Кузовщик,10.5
551,Ладислав,Одинцов,+7 (977) 851 80-69,Шиномонтажник,4.0
552,Пимен,Суханов,+7 (957) 709 54-68,Шиномонтажник,13.0
553,Панфил,Тетерин,+7 (912) 971 34-11,Автослесарь,18.0
554,Ким,Субботин,+7 (988) 607 20-03,Автомеханик,9.0
555,Иларион,Горшков,+7 (985) 171 96-27,Автомеханик,18.0
556,Поликарп,Фадеев,+7 (916) 738 13-37,Автоэлектрик,11.9
557,Остромир,Филатов,+7 (957) 429 56-34,Автомеханик,11.1
558,Кондратий,Сафонов,+7 (975) 925 04-32,Шиномонтажник,9.5
559,Любосмысл,Сысоев,+7 (983) 446 59-39,Кузовщик,17.0
560,Каллистрат,Дьячков,+7 (961) 332 64-46,Автомеханик,5.3
561,Селиверст,Одинцов,+7 (936) 837 07-32,Рихтовщик,7.1
562,Анатолий,Хохлов,+7 (905) 579 78-69,Автослесарь,10.2
563,Стоян,Гущин,+7 (952) 197 13-75,Автоэлектрик,7.2
564,Исай,Самойлов,+7 (989) 768 16-30,Автослесарь,17.9
565,Мариан,Потапов,+7 (943) 973 08-34,Шиномонтажник,29.0
566,Василий,Медведев,+7 (925) 634 42-69,Автомеханик,12.2
567,Сергей,Третьяков,+7 (999) 286 43-34,Кузовщик,14.3
568,Гаврила,Шилов,+7 (971) 681 71-37,Кузовщик,16.9
569,Эммануил,Лазарев,+7 (950) 900 84-00,Кузовщик,4.2
570,Зосима,Калинин,+7 (964) 415 26-27,Кузовщик,15.1
571,Бронислав,Харитонов,+7 (946) 107 32-36,Автомеханик,11.5
572,Максимильян,Шашков,+7 (972) 301 98-51,Автоэлектрик,32.0
573,Михаил,Комиссаров,+7 (965) 370 54-79,Шиномонтажник,31.1
574,Никандр,Стрелков,+7 (979) 266 09-97,Шиномонтажник,11.7
575,Будимир,Кулаков,+7 (910) 131 88-78,Рихтовщик,7.4
576,Савва,Потапов,+7 (993) 992 56-56,Рихтовщик,11.5
577,Валентин,Сафонов,+7 (960) 455 59-16,Рихтовщик,19.0
578,Натан,Лебедев,+7 (923) 773 94-37,Кузовщик,19.1
579,Ираклий,Суворов,+7 (917) 525 17-42,Рихтовщик,25.5
580,Демид,Сысоев,+7 (936) 570 46-78,Шиномонтажник,8.6
581,Григорий,Молчанов,+7 (987) 150 70-79,Шиномонтажник,18.3
582,Климент,Чернов,+7 (991) 166 55-55,Рихтовщик,20.4
583,Емельян,Алексеев,+7 (908) 842 73-24,Автомаляр,29.7
584,Емельян,Колобов,+7 (901) 299 74-37,Автоэлектрик,20.5
585,Корнил,Коновалов,+7 (911) 987 82-66,Автомеханик,16.3
586,Михей,Голубев,+7 (991) 147 39-18,Рихтовщик,31.4
587,Натан,Моисеев,+7 (947) 745 52-38,Кузовщик,25.9
588,Эдуард,Суханов,+7 (911) 263 91-14,Автослесарь,15.7
589,Леонид,Бобылев,+7 (926) 143 66-15,Кузовщик,27.1
590,Наркис,Поляков,+7 (911) 518 09-08,Кузовщик,10.2
591,Феоктист,Осипов,+7 (909) 470 29-20,Рихтовщик,20.1
592,Ян,Чернов,+7 (927) 169 95-02,Кузовщик,13.3
593,Владимир,Агафонов,+7 (999) 957 74-47,Шиномонтажник,14.9
594,Евграф,Ширяев,+7 (962) 306 66-18,Кузовщик,10.4
595,Игорь,Поляков,+7 (961) 437 56-34,Шиномонтажник,19.3
596,Олимпий,Горбунов,+7 (956) 783 01-95,Шиномонтажник,19.0
597,Анатолий,Соболев,+7 (986) 110 96-73,Автомеханик,5.0
598,Фортунат,Исаков,+7 (922) 876 54-42,Кузовщик,2.0
599,Зиновий,Фомин,+7 (932) 625 51-52,Шиномонтажник,10.2
600,Онуфрий,Сергеев,+7 (993) 342 98-55,Шиномонтажник,2.2
601,Семен,Михеев,+7 (965) 725 53-89,Кузовщик,9.2
602,Никодим,Горбачев,+7 (913) 753 74-56,Автомеханик,3.6
603,Наум,Николаев,+7 (934) 403 39-80,Автоэлектрик,10.1
604,Милан,Шубин,+7 (919) 130 29-16,Автомаляр,9.0
605,Чеслав,Бобров,+7 (921) 233 92-79,Автослесарь,28.4
606,Лавр,Беляков,+7 (957) 548 71-39,Шиномонтажник,17.5
607,Демьян,Марков,+7 (941) 412 63-26,Автомеханик,19.3
608,Емельян,Елисеев,+7 (963) 548 23-83,Шиномонтажник,9.0
609,Никандр,Филатов,+7 (973) 703 25-26,Шиномонтажник,10.6
610,Гурий,Тимофеев,+7 (973) 588 40-05,Рихтовщик,31.0
611,Владилен,Горшков,+7 (927) 899 06-52,Кузовщик,17.7
612,Евлампий,Павлов,+7 (997) 623 75-36,Кузовщик,21.9
613,Клавдий,Ширяев,+7 (948) 479 57-11,Кузовщик,22.1
614,Федот,Воробьев,+7 (901) 976 72-30,Автоэлектрик,25.4
615,Аким,Данилов,+7 (911) 960 71-06,Шиномонтажник,23.7
616,Парамон,Архипов,+7 (944) 381 28-89,Автослесарь,20.6
617,Тимофей,Гурьев,+7 (901) 839 72-88,Автомеханик,27.0
618,Марк,Третьяков,+7 (934) 351 48-73,Шиномонтажник,15.0
619,Силантий,Коновалов,+7 (999) 185 40-90,Кузовщик,21.8
620,Натан,Архипов,+7 (952) 699 85-10,Автомеханик,23.6
621,Евсей,Дьячков,+7 (941) 794 32-88,Кузовщик,31.0
622,Измаил,Дьячков,+7 (986) 924 59-17,Автоэлектрик,13.8
623,Спартак,Кошелев,+7 (928) 141 37-05,Автослесарь,2.2
624,Ратибор,Мельников,+7 (960) 853 13-26,Кузовщик,3.2
625,Ипполит,Капустин,+7 (992) 818 34-47,Автомаляр,24.6
626,Юлий,Титов,+7 (967) 394 49-20,Автослесарь,16.2
627,Фотий,Анисимов,+7 (972) 239 99-93,Автослесарь,18.0
628,Михей,Петров,+7 (987) 787 11-18,Автослесарь,9.0
629,Христофор,Горшков,+7 (911) 298 22-45,Рихтовщик,15.7
630,Аникей,Костин,+7 (941) 650 97-27,Шиномонтажник,24.6
631,Мариан,Зайцев,+7 (915) 360 39-02,Автослесарь,3.3
632,Эммануил,Морозов,+7 (980) 228 15-67,Рихтовщик,22.9
633,Сидор,Самсонов,+7 (977) 941 83-84,Автомеханик,19.9
634,Иларион,Ковалев,+7 (996) 454 52-14,Автоэлектрик,18.6
635,Ферапонт,Никонов,+7 (963) 746 93-01,Автослесарь,16.1
636,Иосиф,Субботин,+7 (971) 930 22-27,Автомеханик,30.3
637,Эрнст,Исаков,+7 (902) 155 64-24,Шиномонтажник,5.1
638,Вениамин,Гусев,+7 (944) 741 25-37,Шиномонтажник,29.9
639,Платон,Бобров,+7 (927) 296 83-33,Автоэлектрик,9.3
640,Никодим,Воронцов,+7 (987) 393 90-63,Автомаляр,8.0
641,Натан,Соболев,+7 (925) 634 42-91,Автомеханик,12.0
642,Мирослав,Антонов,+7 (943) 905 75-21,Шиномонтажник,17.1
643,Клавдий,Горшков,+7 (915) 172 54-19,Кузовщик,27.1
644,Софрон,Блинов,+7 (966) 221 11-37,Кузовщик,5.0
645,Харитон,Овчинников,+7 (963) 763 84-18,Шиномонтажник,8.2
646,Остап,Тарасов,+7 (917) 663 71-57,Рихтовщик,8.5
647,Спиридон,Терентьев,+7 (924) 971 99-36,Рихтовщик,9.8
648,Капитон,Котов,+7 (986) 305 34-84,Автомеханик,13.3
649,Тихон,Мухин,+7 (944) 108 73-47,Автослесарь,12.6
650,Аполлон,Крюков,+7 (965) 426 03-49,Автомеханик,22.6
651,Михаил,Фролов,+7 (995) 580 02-65,Автослесарь,4.5
652,Павел,Журавлев,+7 (932) 934 89-15,Автоэлектрик,29.0
653,Тимур,Назаров,+7 (964) 895 51-30,Автомеханик,26.6
654,Силантий,Петров,+7 (966) 278 22-08,Автоэлектрик,2.7
655,Казимир,Цветков,+7 (937) 874 63-60,Кузовщик,11.7
656,Лавр,Жуков,+7 (947) 424 38-37,Рихтовщик,7.6
657,Карл,Харитонов,+7 (947) 707 69-43,Автомеханик,14.3
658,Аверкий,Родионов,+7 (959) 250 60-02,Автослесарь,18.3
659,Галактион,Вишняков,+7 (955) 572 05-24,Рихтовщик,21.7
660,Федот,Давыдов,+7 (982) 413 80-77,Рихтовщик,16.9
661,Вацлав,Кононов,+7 (913) 728 94-97,Автомеханик,9.3
662,Агап,Фокин,+7 (925) 366 44-36,Шиномонтажник,5.4
663,Зиновий,Фомин,+7 (901) 801 22-20,Автомеханик,4.7
664,Егор,Меркушев,+7 (918) 289 45-32,Автоэлектрик,24.1
665,Ефим,Белоусов,+7 (940) 523 08-53,Автоэлектрик,8.1
666,Авксентий,Ершов,+7 (959) 581 50-40,Кузовщик,16.5
667,Амос,Мартынов,+7 (916) 892 58-00,Рихтовщик,30.4
668,Эммануил,Егоров,+7 (953) 674 20-95,Кузовщик,1.4
669,Лазарь,Тихонов,+7 (905) 961 66-30,Автослесарь,2.1
670,Силантий,Меркушев,+7 (982) 863 57-32,Автоэлектрик,28.1
671,Селиван,Королев,+7 (923) 572 92-99,Автомаляр,30.3
672,Сократ,Яковлев,+7 (994) 846 05-56,Автослесарь,4.0
673,Христофор,Прохоров,+7 (929) 595 34-59,Автомеханик,22.1
674,Авксентий,Самойлов,+7 (993) 597 72-55,Автослесарь,20.2
675,Игнатий,Беляев,+7 (918) 912 73-93,Автомеханик,8.2
676,Сильвестр,Авдеев,+7 (980) 446 07-19,Шиномонтажник,17.8
677,Геннадий,Гаврилов,+7 (991) 495 19-41,Рихтовщик,16.8
678,Пимен,Абрамов,+7 (942) 434 83-43,Автоэлектрик,22.8
679,Мариан,Михайлов,+7 (981) 633 55-75,Шиномонтажник,22.7
680,Всеволод,Воробьев,+7 (928) 885 23-62,Шиномонтажник,25.3
681,Лаврентий,Лыткин,+7 (975) 675 55-12,Автослесарь,25.1
682,Андроник,Мясников,+7 (964) 167 18-84,Автослесарь,9.1
683,Устин,Зимин,+7 (962) 129 46-41,Автоэлектрик,30.2
684,Кирилл,Владимиров,+7 (967) 896 16-53,Шиномонтажник,14.7
685,Тарас,Лукин,+7 (987) 150 98-74,Автослесарь,21.9
686,Тит,Елисеев,+7 (928) 176 80-69,Автомаляр,12.6
687,Софон,Щукин,+7 (962) 519 86-42,Автомаляр,14.4
688,Велимир,Семенов,+7 (953) 403 84-17,Автослесарь,10.0
689,Иларион,Орехов,+7 (972) 109 28-94,Рихтовщик,24.1
690,Варфоломей,Щербаков,+7 (962) 904 83-65,Автомаляр,26.2
691,Денис,Крюков,+7 (935) 937 12-45,Автоэлектрик,27.8
692,Карл,Жуков,+7 (930) 846 27-66,Автомаляр,4.4
693,Ульян,Волков,+7 (924) 158 24-85,Автоэлектрик,18.5
694,Боян,Сорокин,+7 (987) 671 49-01,Шиномонтажник,16.5
695,Владилен,Исаков,+7 (925) 891 07-01,Автомеханик,10.0
696,Творимир,Кондратьев,+7 (971) 843 29-82,Кузовщик,12.1
697,Вадим,Соболев,+7 (973) 533 60-47,Автомеханик,23.9
698,Валерьян,Дьячков,+7 (941) 303 17-68,Шиномонтажник,16.0
699,Вениамин,Тихонов,+7 (918) 794 80-42,Шиномонтажник,28.7
700,Азарий,Поляков,+7 (941) 377 24-22,Рихтовщик,8.1
701,Лука,Гордеев,+7 (970) 504 43-90,Рихтовщик,5.0
702,Филарет,Юдин,+7 (947) 760 12-03,Автоэлектрик,12.4
703,Мечислав,Шашков,+7 (937) 481 08-24,Автомаляр,8.6
704,Мир,Дмитриев,+7 (908) 411 63-28,Автоэлектрик,22.8
705,Иннокентий,Смирнов,+7 (900) 774 27-64,Рихтовщик,15.6
706,Спартак,Никонов,+7 (978) 699 78-72,Автомеханик,26.0
707,Герасим,Сысоев,+7 (951) 200 70-90,Автоэлектрик,25.0
708,Аркадий,Пестов,+7 (934) 609 58-19,Автомаляр,29.7
709,Агап,Коновалов,+7 (923) 387 91-96,Автоэлектрик,16.4
710,Мир,Соболев,+7 (998) 537 03-01,Автомаляр,10.3
711,Игорь,Сидоров,+7 (923) 315 30-32,Шиномонтажник,12.3
712,Федосий,Горшков,+7 (922) 166 32-54,Шиномонтажник,26.0
713,Юрий,Ковалев,+7 (993) 669 31-78,Автомеханик,28.2
714,Фирс,Чернов,+7 (940) 504 71-73,Автомеханик,6.4
715,Феликс,Зайцев,+7 (920) 882 37-84,Автомаляр,28.8
716,Афанасий,Колесников,+7 (986) 624 62-11,Шиномонтажник,3.2
717,Игорь,Макаров,+7 (917) 710 52-72,Шиномонтажник,30.0
718,Макар,Кузнецов,+7 (923) 479 91-45,Автомеханик,25.4
719,Антонин,Волков,+7 (916) 888 94-12,Рихтовщик,8.1
720,Дементий,Воронов,+7 (955) 532 98-09,Шиномонтажник,24.1
721,Севастьян,Фролов,+7 (932) 655 56-62,Автослесарь,17.6
722,Рубен,Потапов,+7 (995) 436 43-99,Автомаляр,3.0
723,Карп,Носов,+7 (934) 922 98-97,Кузовщик,14.6
724,Яков,Овчинников,+7 (977) 657 41-66,Автослесарь,10.0
725,Леонид,Суворов,+7 (933) 294 28-35,Автомеханик,7.3
726,Филарет,Журавлев,+7 (974) 126 22-86,Автомеханик,8.9
727,Агап,Ситников,+7 (976) 837 37-31,Кузовщик,20.3
728,Харитон,Зимин,+7 (992) 627 48-35,Автоэлектрик,23.6
729,Авдей,Белозеров,+7 (958) 285 39-23,Автомеханик,13.6
730,Афанасий,Кузьмин,+7 (963) 510 89-63,Рихтовщик,28.0
731,Матвей,Стрелков,+7 (976) 621 40-36,Автомаляр,14.6
732,Фирс,Степанов,+7 (946) 927 21-47,Автоэлектрик,11.5
733,Денис,Одинцов,+7 (976) 813 07-13,Автомаляр,2.8
734,Андрей,Гущин,+7 (995) 650 01-28,Автоэлектрик,9.2
735,Силантий,Анисимов,+7 (900) 629 54-79,Автомаляр,29.6
736,Денис,Гуляев,+7 (906) 709 50-33,Автослесарь,22.0
737,Дорофей,Чернов,+7 (973) 547 89-84,Кузовщик,16.5
738,Селиверст,Рожков,+7 (980) 503 94-24,Автослесарь,10.0
739,Степан,Савельев,+7 (922) 810 95-60,Автоэлектрик,6.6
740,Пров,Сафонов,+7 (915) 137 63-47,Рихтовщик,3.5
741,Ратмир,Орехов,+7 (963) 134 46-51,Автомеханик,29.9
742,Демьян,Шубин,+7 (983) 966 41-43,Рихтовщик,3.1
743,Савватий,Шашков,+7 (947) 478 85-51,Автомаляр,9.0
744,Сидор,Антонов,+7 (967) 480 85-70,Автоэлектрик,24.0
745,Селиван,Быков,+7 (968) 922 59-25,Автослесарь,22.3
746,Митофан,Лебедев,+7 (965) 176 46-05,Автоэлектрик,27.3
747,Ян,Зайцев,+7 (969) 952 02-62,Автомаляр,22.2
748,Авксентий,Гурьев,+7 (993) 830 10-38,Автомаляр,23.9
